# (X, Y) are on NAD83, UTM Zone 15N
X,Y,Z,mag
337400,6629200,188.526332219609,4790
337450,6629200,188.168688607837,4789
337500,6629200,187.817589160061,4786
337550,6629200,187.473513879542,4783
337600,6629200,187.136818748423,4780
337650,6629200,186.807736548771,4778
337700,6629200,186.486379633373,4777
337750,6629200,186.172745075423,4777
337800,6629200,185.866721978699,4778
337850,6629200,185.568100007235,4783
337900,6629200,185.276579419352,4798
337950,6629200,184.991782901844,4823
338000,6629200,184.713268766843,4855
338050,6629200,184.440544217673,4875
338100,6629200,184.173078970318,4861
338150,6629200,183.910319604664,4834
338200,6629200,183.651704228852,4809
338250,6629200,183.396676344775,4792
338300,6629200,183.144697765073,4778
338350,6629200,182.895261168429,4768
338400,6629200,182.647901731304,4761
338450,6629200,182.402207343533,4755
338500,6629200,182.15782717382,4749
338550,6629200,181.914478221241,4745
338600,6629200,181.671949941804,4745
338650,6629200,181.430107265128,4744
338700,6629200,181.188892406718,4744
338750,6629200,180.948324477749,4745
338800,6629200,180.708497687997,4748
338850,6629200,180.469578387063,4752
338900,6629200,180.231800819646,4755
338950,6629200,179.995461055533,4757
339000,6629200,179.760909531433,4759
330000,6629400,209.805417280469,5558
330050,6629400,209.936233230433,5585
330100,6629400,210.068799704171,5653
330150,6629400,210.202596200297,5772
330200,6629400,210.337124707196,5882
330250,6629400,210.471911777158,5913
330300,6629400,210.606509361911,5886
330350,6629400,210.740494064883,5747
330400,6629400,210.873466840234,5566
330450,6629400,211.005052140649,5375
330500,6629400,211.134895671359,5243
330550,6629400,211.26266123906,5154
330600,6629400,211.388027067497,5096
330650,6629400,211.510680825323,5102
330700,6629400,211.630314031694,5085
330750,6629400,211.746615677095,5062
330800,6629400,211.859265899842,5038
330850,6629400,211.967930466646,5019
330900,6629400,212.072254966006,5007
330950,6629400,212.17185895925,4997
331000,6629400,212.26633026989,4989
331050,6629400,212.355219885715,4983
331100,6629400,212.438037273768,4977
331150,6629400,212.514246872048,4973
331200,6629400,212.583265508027,4971
331250,6629400,212.644460870004,4969
331300,6629400,212.697151214927,4968
331350,6629400,212.740606447898,4969
331400,6629400,212.774050734826,4968
331450,6629400,212.796667008631,4964
331500,6629400,212.807603085277,4958
331550,6629400,212.805979106184,4954
331600,6629400,212.790896249016,4955
331650,6629400,212.761445719257,4959
331700,6629400,212.716718058257,4958
331750,6629400,212.655813688616,4952
331800,6629400,212.577854537077,4946
331850,6629400,212.4819959454,4942
331900,6629400,212.367439732466,4941
331950,6629400,212.23344785696,4943
332000,6629400,212.079355420757,4946
332050,6629400,211.904583442224,4949
332100,6629400,211.708651805601,4949
332150,6629400,211.491191167438,4947
332200,6629400,211.251954410522,4946
332250,6629400,210.990826396154,4946
332300,6629400,210.707832195217,4946
332350,6629400,210.403143883983,4945
332400,6629400,210.077085931312,4943
332450,6629400,209.730138975383,4937
332500,6629400,209.3629422397,4930
332550,6629400,208.976294059018,4926
332600,6629400,208.571150554762,4925
332650,6629400,208.148622912552,4929
332700,6629400,207.709972109597,4933
332750,6629400,207.256601624432,4936
332800,6629400,206.790048671005,4942
332850,6629400,206.311973266012,4951
332900,6629400,205.824145479266,4958
332950,6629400,205.328431856486,4959
333000,6629400,204.826780880728,4952
333050,6629400,204.321207343371,4942
333100,6629400,203.813775891885,4934
333150,6629400,203.306584004908,4930
333200,6629400,202.801745076278,4927
